"","Year","Number.of.Matchs","Number.of.Participants","Total Goals","assists"
"1",1930,18,13,70,590549
"2",1934,17,16,70,363000
"3",1938,18,15,84,375700
"4",1950,22,13,88,1045246
"5",1954,26,16,140,768607
"6",1958,35,16,126,819810
"7",1962,32,16,89,893172
"8",1966,32,16,89,1563135
"9",1970,32,16,95,1604065
"10",1974,38,16,97,1865762
"11",1978,38,16,102,1545791
"12",1982,52,24,146,2109723
"13",1986,52,24,132,2394031
"14",1990,52,24,115,2516215
"15",1994,52,24,141,3587538
"16",1998,64,32,171,2785100
"17",2002,64,32,161,2705197
"18",2006,64,32,147,3359439
"19",2010,64,32,145,3178856
"20",2014,64,32,206,3429873
