"","Year","Number.of.Matchs","Number.of.Participants","Total.Goals","assists","NumberofStadiums","Banns","Expulsions"
"1",1930,18,13,70,590549,3,0,1.8
"2",1934,17,16,70,363000,8,0,1.7
"3",1938,18,15,84,375700,10,0,3.6
"4",1950,22,13,88,1045246,6,0,0
"5",1954,26,16,140,768607,6,0,2.6
"6",1958,35,16,126,819810,12,0,3.5
"7",1962,32,16,89,893172,4,0,6.4
"8",1966,32,16,89,1563135,8,22.4,6.4
"9",1970,32,16,95,1604065,4,51.2,0
"10",1974,38,16,97,1865762,9,87.4,3.8
"11",1978,38,16,102,1545791,6,60.8,3.8
"12",1982,52,24,146,2109723,17,98.8,5.2
"13",1986,52,24,132,2394031,12,140.4,10.4
"14",1990,52,24,115,2516215,12,171.6,15.6
"15",1994,52,24,141,3587538,9,244.4,15.6
"16",1998,64,32,171,2785100,10,262.4,19.2
"17",2002,64,32,161,2705197,20,275.2,19.2
"18",2006,64,32,147,3359439,12,364.8,25.6
"19",2010,64,32,145,3178856,13,268.8,19.2
"20",2014,64,32,206,3429873,12,179.2,12.8
